label_cluster_id,label_type,street_edge_id,osm_way_id,region_id,region_name,avg_image_capture_date,avg_label_date,median_severity,agree_count,disagree_count,unsure_count,cluster_size,users,avg_latitude,avg_longitude
21338,CurbRamp,104,35037906,7,UV 42,2012-10-01T00:00Z,2025-10-08T01:20:06.017Z,1,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.170185,-70.74212
21339,CurbRamp,8518,474024847,7,UV 42,2025-03-01T00:00Z,2025-10-15T15:30:30.551Z,2,2,0,0,3,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1710983333,-70.7437633333
21340,CurbRamp,12483,1025610255,7,UV 42,2025-03-01T00:00Z,2025-10-15T01:08:10.054Z,3,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.170845,-70.74497
21341,CurbRamp,107,35037906,7,UV 42,2025-03-01T00:00Z,2025-10-17T22:53:27.413500Z,2,1,0,0,2,"[14530b7d-682c-4398-a276-d56aa07a6cd7,e3849ac5-c5f5-4df4-ae85-5a09c753f458]",-34.17461,-70.743
21342,CurbRamp,12402,1024631192,7,UV 42,2025-05-01T00:00Z,2025-10-18T19:04:55.756Z,2,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1734635,-70.742755
21343,CurbRamp,8463,464459660,7,UV 42,2025-03-01T00:00Z,2025-10-22T11:13:44.057Z,2,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1719925,-70.745331
21344,CurbRamp,93,35037903,7,UV 42,2025-05-01T00:00Z,2025-10-29T21:30:58.255Z,2,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.173023,-70.74553
21345,CurbRamp,8515,474024847,7,UV 42,2025-05-01T00:00Z,2025-10-18T19:22:34.304Z,2,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1733,-70.74416
21346,CurbRamp,12403,1024631193,7,UV 42,2025-05-01T00:00Z,2025-10-18T19:21:19.927Z,2,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.173286,-70.744064
21347,CurbRamp,8517,474024847,7,UV 42,2025-05-01T00:00Z,2025-10-15T00:53:02.800Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.172203,-70.74398
21348,CurbRamp,13006,1192522101,7,UV 42,2025-03-31T12:00Z,2025-10-11T22:45:07.266500Z,1,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1686185,-70.7446725
21349,CurbRamp,13006,1192522101,7,UV 42,2025-03-01T00:00Z,2025-10-14T01:30:17.621500Z,1,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1683595,-70.745935
21350,CurbRamp,87,35037903,7,UV 42,2025-03-31T12:00Z,2025-10-12T01:42:05.769500Z,2,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1674445,-70.7443675
21351,CurbRamp,51,35037897,7,UV 42,2025-03-01T00:00Z,2025-10-06T14:02:37.024Z,2,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.166332,-70.74421
21352,CurbRamp,13007,1192522102,7,UV 42,2025-03-31T12:00Z,2025-10-10T13:42:03.728Z,1,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.168985,-70.74184
21353,CurbRamp,208,35073144,7,UV 42,2023-05-01T00:00Z,2025-10-13T01:18:09.511Z,2,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.169064,-70.740524
21354,CurbRamp,13007,1192522102,7,UV 42,2025-03-01T00:00Z,2025-10-13T01:43:26.508Z,2,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.169235,-70.740585
21355,CurbRamp,102,35037906,7,UV 42,2025-03-31T12:00Z,2025-10-10T01:48:19.345500Z,2,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.1678665,-70.74168
21356,CurbRamp,9853,567197294,7,UV 42,2015-04-01T00:00Z,2025-10-09T01:20:04.862Z,1,2,1,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.166927,-70.74011
21357,CurbRamp,208,35073144,7,UV 42,2025-03-01T00:00Z,2025-10-09T01:26:17.914Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.168102,-70.74029
21358,CurbRamp,94,35037903,7,UV 42,2025-03-31T12:00Z,2025-10-29T21:29:04.001500Z,2,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.17309,-70.745535
21359,CurbRamp,94,35037903,7,UV 42,2025-03-01T00:00Z,2025-10-21T12:16:01.716667Z,1,3,0,0,3,"[01815c56-c781-406c-af8d-9095064b6a02,e3849ac5-c5f5-4df4-ae85-5a09c753f458]",-34.1741593333,-70.7457383333
21360,CurbRamp,107,35037906,7,UV 42,2025-03-01T00:00Z,2025-10-17T22:53:03.033Z,2,2,0,0,2,"[14530b7d-682c-4398-a276-d56aa07a6cd7,e3849ac5-c5f5-4df4-ae85-5a09c753f458]",-34.174608,-70.743005
